CICLO,TRIMESTRE,ID_RAMO,DESC_RAMO,ACRON_DEP_ENT,DESC_DEP_ENT,MODALIDAD_PP ,DESC_PP,INST_COORD,ANIO_RECOMENDACION,ORIGEN_RECOMENDACION,ID_ASM,DESC_ASM,GASTO_FEDERALIZADO,TIPO_ASM,TEMA_ASM,TIPO_MEJORA,PRIORIDAD,AVANCE_ASM,FECHA_REPORTE,EVIDENCIA
2012-2013,03T2015,4,Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,N001,Coordinación del Sistema Nacional de Protección Civil,SFP,2012,Evaluación de Diseño,04n001pdi12_01,Diseñar y formalizar la ficha básica del Programa 2013-2018,No,Específico,Diseño,Adiciona,Baja,100,30/09/2015,N/D
2014-2015,01T2016,4,Gobernación,SETEC,Secretaría Técnica del Consejo de Coordinación para la Implementación del Sistema de Justicia Penal,P010,Implementación de la Reforma al Sistema de Justicia Penal,SHCP,2014,Evaluación de Consistencia y Resultados,04p010pcr14_09,El Programa no cuenta con mecanismos de transparencia y rendición de cuentas.,No,Específico,Operación,Adiciona,Baja,100,31/03/2016,N/D
2013-2014,03T2015,4,Gobernación,SECRETARIADO EJECUTIVO,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,U002,"Otorgamiento de subsidios en materia de Seguridad Pública a Entidades Federativas, Municipios y el Distrito Federal",SFP,2013,Evaluación de Consistencia y Resultados,04u002pcr13_01,"Establecer un mecanismo de medición del grado de satisfacción de la población atendida, no sólo en cuanto a la ministración y entrega de los recursos, sino también en cuanto a los sistemas informáticos y de comunicaciones establecidos para la interacción entre los beneficiarios y los operadores del programa.",Si,Específico,Resultado,Adiciona,Baja,100,30/09/2015,N/D
2013-2014,01T2016,6,Hacienda y Crédito Público,SAT,Servicio de Administración Tributaria,E025,Control de la operación aduanera,SHCP,2012,Evaluación de Procesos,06e025ppr12_02,"Mejorar la asignación de Metas en función de su contexto y región socioeconómica, individuales y de grupo.",No,Específico,Planeación,Adiciona,Baja,100,31/03/2016,N/D
2013-2014,01T2016,6,Hacienda y Crédito Público,SAT,Servicio de Administración Tributaria,E025,Control de la operación aduanera,SHCP,2012,Evaluación de Procesos,06e025ppr12_03,Establecimiento de Indicadores que puedan medir el desarrollo de ciertos procesos.,No,Específico,Indicadores,Adiciona,Baja,100,31/03/2016,N/D
2013-2014,01T2016,6,Hacienda y Crédito Público,SAT,Servicio de Administración Tributaria,E025,Control de la operación aduanera,SHCP,2012,Evaluación de Procesos,06e025ppr12_04,Revisar los indicadores y sus metas en función de su contexto y región socioeconómica.,No,Específico,Indicadores,Adiciona,Baja,100,31/03/2016,N/D
2013-2014,01T2016,6,Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",F033,Productos y Servicios para Fortalecer el Sector y Fomentar la Inclusión Financiera,SHCP,2012,Evaluación de Procesos,06f033ppr12_01,"En el caso del componente de Mantenimiento y Trasformación a Sucursales, involucrar en el proceso de planeación al área de BANSEFI ejecutora de este componente. Esto ayudará a incorporar criterios técnicos de obra y mantenimiento desde la selección de las sucursales, de ese modo se fortalecería el proceso de planeación, en particular la identificación de necesidades, vinculándola con la fase operativa/ejecutora.",No,Institucional,N/D,Adiciona,Baja,100,31/03/2016,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/ASM/01t_2016/06f033ppr12_01.rar
2013-2014,01T2016,6,Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",F033,Productos y Servicios para Fortalecer el Sector y Fomentar la Inclusión Financiera,SHCP,2012,Evaluación de Procesos,06f033ppr12_02,"Documentar el proceso de identificación de necesidades y selección de sucursales para el caso de Mantenimiento y Trasformación a Sucursales, esto es, definir y presentar cuáles son los criterios y metodologías utilizadas para identificar las sucursales que requieren servicios de obra y cómo se priorizan estas acciones.",No,Institucional,N/D,Adiciona,Baja,100,31/03/2016,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/ASM/01t_2016/06f033ppr12_02.rar
2014-2015,03T2015,6,Hacienda y Crédito Público,SHCP,Secretaría de Hacienda y Crédito Público,P002,"Diseño e instrumentación de las políticas y estrategias en materia de programación, presupuesto, gasto público federal, contabilidad y rendición de cuentas de la gestión del sector público y evaluación del desempeño.",SHCP,2013,Evaluación de Diseño,06p002pdi13_04,Ampliar la cobertura de evaluaciones a Programas No Sociales en el Programa Anual de Evaluación,No,Específico,Productos; Coberturas; Evaluación,Adiciona,Media,100,30/09/2015,N/D
2013-2014,03T2015,6,Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",S172,Programa de Apoyo a los Fondos de Aseguramiento Agropecuario,CONEVAL,2013,Evaluación Específica de Desempeño,06s172ped12_01,Mejorar el esquema de supervisión mediante la consideración y la determinación de las aspectos revisables más críticos.,No,Específico,Diseño,Adiciona,Baja,100,30/09/2015,N/D
2013-2014,03T2015,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",SENASICA,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",U002,Instrumentación de acciones para mejorar las Sanidades a través de Inspecciones Fitozoosanitarias,CONEVAL,2013,Evaluación Específica de Desempeño,08U002ped13_01,Desarrollar plataformas informáticas para sistematizar la información de los componentes y actividades que conforman el Programa.,No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2014-2015,03T2015,10,Economía,PROFECO,Procuraduría Federal del Consumidor,B002,Promoción de una cultura de consumo responsable e inteligente,SFP,2014,Evaluación Específica de Desempeño,10b002ped14_01,Estudio Diagnóstico del Programa Presupuestal B002,No,Específico,Planeación,Adiciona,Alta,100,30/09/2015,N/D
2014-2015,03T2015,10,Economía,PROFECO,Procuraduría Federal del Consumidor,B002,Promoción de una cultura de consumo responsable e inteligente,SFP,2014,Evaluación Específica de Desempeño,10b002ped14_03,Elaboración de Programa Anual de Trabajo de la CGED,No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2014-2015,01T2016,10,Economía,INAES,Instituto Nacional de la Economía Social,S017,Programa de Fomento a la Economía Social (FONAES),CONEVAL,2013,Otros Informes Externos,10s017cie13_03,Realizar la medición de la línea base del Programa de Fomento a la Economía Social que en el mediano plazo permita evaluar el impacto del programa bajo una metodología longitudinal.,No,Específico,Evaluación,Adiciona,Media,100,31/03/2016,N/D
2014-2015,01T2016,11,Educación Pública,SEP,Secretaría de Educación Pública,E011,Impulso al desarrollo de la cultura,CONEVAL,2014,Otros Informes Externos,11e011cie14_01,"Si bien es cierto cada unidad administrativa presenta una definición de poblaciones potencial, objetivo y atendida, es importante realizar un esfuerzo por integrar en un documento, tomando en cuenta que se maneja una sola unidad de medida, las personas asistentes a los eventos culturales.",No,Específico,Operación,Adiciona,Media,100,31/03/2016,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/ASM/01t_2016/11e011cie14_01.rar
2014-2015,03T2015,11,Educación Pública,SEP,Secretaría de Educación Pública,E012,"Incorporación, restauración, conservación y mantenimiento de bienes patrimonio de la Nación",CONEVAL,2014,Otros Informes Externos,11e012cie14_01,"Si bien es cierto cada unidad adminsitrativa presenta una definición de poblaciones potencial, objetivo y atendida, es importante realizar un esfuerzo por integrar un solo documento, tomando en cuenta que se maneja una sola unidad de medida.",No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
