CICLO_PAE,ID_EVALUACION,ID_RAMO,DESC_RAMO,MODALIDAD_PP,DESC_PP,TIPO_EVALUACION,EVALUADOR,COSTOS,CICLO_CONCLUSION ,URL_EVALUACION
Complementaria,06b003cpr10,6,Hacienda y Crédito Público,b003,Pronósticos para la Asistencia Pública,Procesos,"El Colegio de México, A.C.",ND,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/06b003cpr10.zip
Complementaria,06e011cpr11,6,Hacienda y Crédito Público,e011,Protección y Defensa de los Usuarios de Servicios Financieros,Procesos,"Centro de Investigación y Docencia Económicas, A.C.",1285000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/06e011cpr11.pdf
Complementaria,06f001ccr12,6,Hacienda y Crédito Público,f001,Programa de Garantías Liquidas,Consistencia y Resultados,"C-230 Consultores, S. C. ",1780000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/06f001ccr12.zip
Complementaria,06f002ccr12,6,Hacienda y Crédito Público,f002,"Programa Integral de Formación, Capacitación y Consultoría para Productores e Intermediarios Financieros Rurales",Consistencia y Resultados,"C-230 Consultores, S. C. ",1780000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/06f002ccr12.zip
Complementaria,06f010cdi08,6,Hacienda y Crédito Público,f010,Programa Capital de Riesgo y para Servicios de Cobertura,Diseño,Colegio de Postgraduados,295000.00,2008,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2008/06f010cdi08.pdf
Complementaria,06f017cdi11,6,Hacienda y Crédito Público,f017,"Programas que canalizan apoyos para el fomento financiero y tecnológico a los sectores agropecuario, forestal, pesquero y rural",Diseño,FAO,"111,927 USD",2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/06f017cdi11.pdf
Complementaria,06f017cpr13,6,Hacienda y Crédito Público,f017,"Programa que Canaliza Apoyos para el Fomento a los Sectores Agropecuario, Forestal, Pesquero y Rural.",Procesos,FAO," 111,927 USD",2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/06f017cpr13.pdf
Complementaria,06f023cpr10,6,Hacienda y Crédito Público,f023,Administración y enajenación de los activos referidos en la Ley Federal para la Administración y Enajenación de Bienes del Sector Público (SAE),Procesos,"El Colegio de México, A.C.",ND,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/06f023cpr10.pdf
Complementaria,06g005cdi11,6,Hacienda y Crédito Público,g005,"Regulación, inspección y vigilancia del sector bancario y de valores",Diseño,Edith Olivares Ferreto,75400.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/06g005cdi11.zip
Complementaria,06s010ced10,6,Hacienda y Crédito Público,s010,Fortalecimiento a la Transversalidad de la Perspectiva de Género,Específica de desempeño,"C-230 Consultores, S. C. ",140000.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/06s010ced10.zip
